"Retrigger the Variables, Triggers and Tags Setup if you make changes here","Retrigger the Variables, Triggers and Tags Setup if you make changes here"
"Nothing was done, conversion tracking items were already created.","Nothing was done, conversion tracking items were already created."
"Account ID must be specified","Account ID must be specified"
"Container ID must be specified","Container ID must be specified"
"Conversion ID must be specified","Conversion ID must be specified"
"Conversion Label must be specified","Conversion Label must be specified"
"Conversion Currency Code must be specified","Conversion Currency Code must be specified"
"Nothing was done, items were already created.","Nothing was done, items were already created."
"Account Id must be specified","Account Id must be specified"
"Container Id must be specified","Container Id must be specified"
"Universal Tracking Id must be specified","Universal Tracking Id must be specified"
"Json was generated successfully. You can download the file by clicking on the Download Json button.","Json was generated successfully. You can download the file by clicking on the Download Json button."
"Universal Tracking ID must be specified","Universal Tracking ID must be specified"
"Public ID must be specified","Public ID must be specified"
"Remarketing Conversion Code must be specified","Remarketing Conversion Code must be specified"
"Nothing was done, remarketing items were already created.","Nothing was done, remarketing items were already created."
"Conversion Code must be specified","Conversion Code must be specified"
Advanced,Advanced
"Advanced Search Result","Advanced Search Result"
"Search Result","Search Result"
"Successfully created variable: ","Successfully created variable: "
"Error creating variable: ","Error creating variable: "
"Successfully created trigger: ","Successfully created trigger: "
"Error creating trigger: ","Error creating trigger: "
"Successfully created tag: ","Successfully created tag: "
"Error creating tag: ","Error creating tag: "
"Api error on variable listing: ","Api error on variable listing: "
"Api error on trigger listing: ","Api error on trigger listing: "
"Api error on tag listing: ","Api error on tag listing: "
"Api error on variable creation: ","Api error on variable creation: "
"Api error on trigger creation:","Api error on trigger creation:"
"Api error on trigger creation: ","Api error on trigger creation: "
"Api error on tag creation:","Api error on tag creation:"
"Api error on tag creation: ","Api error on tag creation: "
"Successfully created Conversion Tracking variable: ","Successfully created Conversion Tracking variable: "
"Error creating Conversion Tracking variable: ","Error creating Conversion Tracking variable: "
"Successfully created Conversion Tracking trigger: ","Successfully created Conversion Tracking trigger: "
"Error creating Conversion Tracking trigger: ","Error creating Conversion Tracking trigger: "
"Successfully created Conversion Tracking tag: ","Successfully created Conversion Tracking tag: "
"Error creating Conversion Tracking tag: ","Error creating Conversion Tracking tag: "
"Successfully created Remarketing variable: ","Successfully created Remarketing variable: "
"Error creating Remarketing variable: ","Error creating Remarketing variable: "
"Successfully created Remarketing Tracking tag: ","Successfully created Remarketing Tracking tag: "
"Error creating Remarketing Tracking tag: ","Error creating Remarketing Tracking tag: "
ID,ID
SKU,SKU
"In the head tag","In the head tag"
"Before body close tag","Before body close tag"
Subtotal,Subtotal
Grandtotal,Grandtotal
Child,Child
Parent,Parent
"Sign in to Google (Deprecated)","Sign in to Google (Deprecated)"
Note,Note
